0 :: Vương quốc Anh: 8.2,6: 0
1 :: Nga: 4,7,5: 1
2 :: Bồ Đào Nha: 4,9,6: 2
3 :: Ba Lan: 5,6,0: 3
4 :: Đức: 10,8,7: 4
5 :: Pháp: 11,3,1: 5
6 :: Tây Ban Nha: 5,11,7: 6
7 :: Ý: 10,15,3: 7
8 :: Áo: 2,15,4: 8
9 :: Bỉ: 7,17,3: 9
10 :: Croatia: 16,4,2: 10
11 :: Hà Lan: 3,8,14: 11
12 :: Thụy Sĩ: 16,7,20: 12
13 :: Hy Lạp: 5,17,8: 13
14 :: Ukraine: 12,10,18: 14
----------------------
15 :: Ai-len: 23,8,19: 15
16 :: Serbia: 8,9,12: 16
17 :: Rumani: 16,9,19: 17
18 :: Bulgaria: 19,25,16: 18
19 :: Thụy Điển: 23,12,16: 19
20 :: Cộng hòa Séc: 27,21,13: 20
21 :: Đan Mạch: 22,17,19: 21
22 :: Na Uy: 19,14,16: 22
23 :: Hungary: 18,20,16: 23
24 :: Phần Lan: 28,16,26: 24
25 :: Albania: 28,20,29: 25
26 :: Iceland: 29,28,22: 26
27 :: Bosnia và Herzegovina: 32,33,31: 27
28 :: Slovakia: 23,32,34: 28
29 :: Slovenia: 21,36,27: 29
-----------------------
30 :: Latvia: 35,23,38: 30
31 :: Bêlarut: 36,26,23: 31
32 :: Liechtenstein: 35,31,40: 32
33 :: Estonia: 27,37,31: 33
34 :: Andorra: 27,39,31: 34
35 :: Litva: 27,34,37: 35
36 :: Luxembourg: 33,34,30: 36
37 :: Malta: 36,34,31: 37
38 :: Moldova: 34,33,30: 38
39 :: Montenegro: 32,31,33: 39
40 :: Monaco: 38,34,36: 40
41 :: San Marino: 39,38,36: 41
---------------------
0 :: Hoa Kỳ: 6,7,1: 0
1 :: Canada: 0,4,8: 1
2 :: Mexico: 0,4,3: 2
3 :: Cuba: 9,8,10: 3
4 :: Jamaica: 10,11,5: 4
5 :: Honduras: 10,0,9: 5
6 :: Haiti: 2,0,8: 6
7 :: Costa Rica: 15,6,11: 7
8 :: Belize: 13,6,5: 8
9 :: Ba-ha-ma: 16,12,7: 9
10 :: Panama: 17,7,6: 10
11 :: Guatemala: 13,17,19: 11
----------------
12 :: Nicaragua: 4,16,13: 12
13 :: Antigua và Barbuda: 11,5,9: 13
14 :: Trinidad và Tobago: 19,12,20: 14
15 :: Cộng hòa Dominican: 17,13,11: 15
16 :: Barbados: 20,15,18: 16
17 :: El Salvador: 10,18,11: 17
18 :: Grenada: 13,19,15: 18
19 :: Đaminh: 25,14,22: 19
20 :: Saint Lucia: 24,26,22: 20
21 :: Anguilla (Vương quốc Anh): 20,13,26: 21
-----------------------
22 :: Quần đảo Cayman (Vương quốc Anh): 17,16,28: 22
23 :: Greenland (Đan Mạch): 16,31,29: 23
24 :: Argentina (Hà Lan): 25,26,30: 24
